name,raw_name,specialty,norm_name,norm_specialty,source
"ד""ר אבו סאלח עלא",אבו סאלח עלא,,עלא סאלח אבו,,IMA
פרופ מוג'ה מיכאל,מוג'ה מיכאל,מומחה בכירורגיה כללית,מיכאל מוג'ה,בכירורגיה כללית,IMA
פרופ מוג'ה מיכאל,מוג'ה מיכאל,,מיכאל מוג'ה,,IMA
"ד""ר זיסמן יצחק",זיסמן יצחק,"מומחה בקרדיולוגיה, מומחה ברפואה פנימית",יצחק זיסמן,בקרדיולוגיה מומחה ברפואה פנימית,IMA
"ד""ר זיסמן יצחק",זיסמן יצחק,,יצחק זיסמן,,IMA
פרופ ואטורי מרדכי,ואטורי מרדכי,"מומחה בקרדיולוגיה, מומחה ברפואה פנימית",מרדכי ואטורי,בקרדיולוגיה מומחה ברפואה פנימית,IMA
פרופ ואטורי מרדכי,ואטורי מרדכי,,מרדכי ואטורי,,IMA
"ד""ר ליבה דוד",ליבה דוד,מומחה בפסיכיאטריה,דוד ליבה,בפסיכיאטריה,IMA
"ד""ר ליבה דוד",ליבה דוד,,דוד ליבה,,IMA
"ד""ר גנלין-כהן אסתרמומחית בנוירו ילדים והתפתחות הילד, מומחית ברפואת ילדים","גנלין-כהן אסתרמומחית בנוירו ילדים והתפתחות הילד, מומחית ברפואת ילדים",,"ילדים ברפואת מומחית הילד, והתפתחות ילדים בנוירו אסתרמומחית גנלין-כהן",,IMA
"ד""ר גנלין-כהן אסתר",גנלין-כהן אסתר,,אסתר גנלין-כהן,,IMA
"ד""ר שלזינגר קשתי דפנהמומחית בפסיכיאטריה",שלזינגר קשתי דפנהמומחית בפסיכיאטריה,,בפסיכיאטריה דפנהמומחית קשתי שלזינגר,,IMA
"ד""ר שלזינגר קשתי דפנה",שלזינגר קשתי דפנה,,דפנה קשתי שלזינגר,,IMA
פרופ אלעמי אמיר,אלעמי אמיר,מומחה בכירורגיה של בית החזה,אמיר אלעמי,בכירורגיה של בית החזה,IMA
פרופ אלעמי אמיר,אלעמי אמיר,,אמיר אלעמי,,IMA
"ד""ר הרפז דוד",הרפז דוד,מומחה בקרדיולוגיה,דוד הרפז,בקרדיולוגיה,IMA
"ד""ר הרפז דוד",הרפז דוד,,דוד הרפז,,IMA
"ד""ר ביינר מריו",ביינר מריו,מומחה ביילוד וגינקולוגיה,מריו ביינר,ביילוד וגינקולוגיה,IMA
"ד""ר ביינר מריו",ביינר מריו,,מריו ביינר,,IMA
"ד""ר רניאל יהודיתמומחית במחלות עיניים",רניאל יהודיתמומחית במחלות עיניים,,עיניים במחלות יהודיתמומחית רניאל,,IMA
"ד""ר רניאל יהודית",רניאל יהודית,,יהודית רניאל,,IMA
פרופ שולט עידו,שולט עידו,מומחה ביילוד וגינקולוגיה,עידו שולט,ביילוד וגינקולוגיה,IMA
פרופ שולט עידו,שולט עידו,,עידו שולט,,IMA
פרופ מילוא רון,מילוא רון,מומחה בנוירולוגיה,רון מילוא,בנוירולוגיה,IMA
פרופ מילוא רון,מילוא רון,,רון מילוא,,IMA
"ד""ר טמיר רמי",טמיר רמי,מומחה באימונולוגיה ואלרגולוגיה,רמי טמיר,באימונולוגיה ואלרגולוגיה,IMA
"ד""ר טמיר רמי",טמיר רמי,,רמי טמיר,,IMA
"ד""ר שילר עופר",שילר עופר,"מומחה בקרדיולוגית ילדים, מומחה בטיפול נמרץ ילדים, מומחה ברפואת ילדים",עופר שילר,בקרדיולוגית ילדים מומחה בטיפול נמרץ ילדים מומחה ברפואת ילדים,IMA
"ד""ר שילר עופר",שילר עופר,,עופר שילר,,IMA
"ד""ר רנד נחשון",רנד נחשון,מומחה בכירורגיה אורתופדית,נחשון רנד,בכירורגיה אורתופדית,IMA
"ד""ר רנד נחשון",רנד נחשון,,נחשון רנד,,IMA
"ד""ר גדעוני יריב",גדעוני יריב,מומחה ביילוד וגינקולוגיה,יריב גדעוני,ביילוד וגינקולוגיה,IMA
"ד""ר גדעוני יריב",גדעוני יריב,,יריב גדעוני,,IMA
"ד""ר אבו-מוך סייף אל דין",אבו-מוך סייף אל דין,מומחה ברפואה פנימית,דין אל סייף אבו-מוך,ברפואה פנימית,IMA
"ד""ר אבו-מוך סייף אל דין",אבו-מוך סייף אל דין,,דין אל סייף אבו-מוך,,IMA
"ד""ר חזן ינון",חזן ינון,מומחה ביילוד וגינקולוגיה,ינון חזן,ביילוד וגינקולוגיה,IMA
"ד""ר חזן ינון",חזן ינון,,ינון חזן,,IMA
"ד""ר מולנר רוברט",מולנר רוברט,מומחה ביילוד וגינקולוגיה,רוברט מולנר,ביילוד וגינקולוגיה,IMA
"ד""ר מולנר רוברט",מולנר רוברט,,רוברט מולנר,,IMA
"ד""ר רחמימוב נמרוד",רחמימוב נמרוד,מומחה בכירורגיה אורתופדית,נמרוד רחמימוב,בכירורגיה אורתופדית,IMA
