moh_name,ima_name,norm_name,moh_specialty,ima_specialty,confidence,name_match,specialty_match,moh_idx,ima_idx
להב מאיר,להב מאיר,מאיר להב,רפואה פנימית,"מומחה בהמטולוגיה, מומחה ברפואה פנימית",1.0,True,False,19624,326
פומרנץ שמואל,פומרנץ שמואל,שמואל פומרנץ,רפואת ילדים,מומחה ברפואת ילדים,1.0,True,False,19650,5915
לדרמן נתן,לדרמן נתן,נתן לדרמן,רפואה פנימית,"מומחה בגסטרואנטרולוגיה, מומחה ברפואה פנימית",1.0,True,False,19735,2112
מג'ר ז'ק,מג'ר ז'ק,ז'ק מג'ר,רפואה פנימית,"מומחה בגריאטריה, מומחה ברפואה פנימית",1.0,True,False,19739,4466
לובין דניאל,לובין דניאל,דניאל לובין,רפואת ילדים,"מומחה בנאונטולוגיה, מומחה ברפואת ילדים",1.0,True,False,19767,1349
סאבין הלל,סאבין הלל,הלל סאבין,רפואה פנימית,"מומחה בראומטולוגיה, מומחה ברפואה פנימית",1.0,True,False,19777,236
ירושלמי ברוך,ירושלמי ברוך,ברוך ירושלמי,גאסטרואנטרולוגיה ילדים,"מומחה בגסטרואנטרולוגית ילדים, מומחה ברפואת ילדים",1.0,True,False,19798,1620
פלדברין זאב,פלדברין זאב,זאב פלדברין,כירורגיה אורתופדית,מומחה בכירורגיה אורתופדית,1.0,True,False,19836,1566
הרט יורם,הרט יורם,יורם הרט,דרמטולוגיה-מחלות עור ומין,מומחה במחלות עור ומין,1.0,True,False,19843,4596
קרסו שמי,קרסו שמי,שמי קרסו,רפואה פנימית,"מומחה בקרדיולוגיה, מומחה ברפואה פנימית",1.0,True,False,19929,658
סגיב פאול,סגיב פאול,פאול סגיב,כירורגיה אורתופדית,"מומחה בכירורגיה של היד, מומחה בכירורגיה אורתופדית",1.0,True,False,19963,1170
אביזמר חגי,אביזמר חגי,חגי אביזמר,מחלות עיניים,מומחה במחלות עיניים,1.0,True,False,19978,2591
דוידוביץ ברנרד,דוידוביץ ברנרד,ברנרד דוידוביץ,כירורגיה כללית,מומחה בכירורגיה כללית,1.0,True,False,20034,3959
מנקוטה דוד,מנקוטה דוד,דוד מנקוטה,יילוד וגינקולוגיה,מומחה ביילוד וגינקולוגיה,1.0,True,False,20035,5118
ליבה דוד,ליבה דוד,דוד ליבה,פסיכיאטריה,מומחה בפסיכיאטריה,1.0,True,False,20036,196
ארדמן שמשון,ארדמן שמשון,שמשון ארדמן,כירורגיה של בית החזה,מומחה בכירורגיה של בית החזה,1.0,True,False,20076,5408
גולדשטיין יעקב,גולדשטיין יעקב,יעקב גולדשטיין,רפואה פנימית,"מומחה בקרדיולוגיה, מומחה ברפואה פנימית",1.0,True,False,20129,4191
קאופמן יובל,קאופמן יובל,יובל קאופמן,יילוד וגינקולוגיה,מומחה ביילוד וגינקולוגיה,1.0,True,False,20212,114
בירקנפלד שלמה,בירקנפלד שלמה,שלמה בירקנפלד,כירורגיה כללית,"מומחה בגסטרואנטרולוגיה, מומחה בכירורגיה כללית",1.0,True,False,20228,2782
ברק שמעון,ברק שמעון,שמעון ברק,רפואת ילדים,מומחה ברפואת ילדים,1.0,True,False,20263,2577
רז אריה,רז אריה,אריה רז,רפואת ילדים,"מומחה בגסטרואנטרולוגית ילדים, מומחה ברפואת ילדים",1.0,True,False,20267,2822
צדוק דוד,צדוק דוד,דוד צדוק,מחלות עיניים,מומחה במחלות עיניים,1.0,True,False,20285,578
סודרי מיכאל,סודרי מיכאל,מיכאל סודרי,כירורגיה אורתופדית,מומחה בכירורגיה אורתופדית,1.0,True,False,20292,3390
ברגר יוסף,ברגר יוסף,יוסף ברגר,כירורגיה פלסטית ואסתטית,מומחה בכירורגיה פלסטית ואסתטית,1.0,True,False,20297,5520
